2013-08-27 15:21:10,346 [12] INFO  Umbraco.Core.ApplicationContext - [Thread 3] CurrentVersion different from configStatus: '6.1.4',''
2013-08-27 15:21:10,346 [12] INFO  Umbraco.Core.ApplicationContext - [Thread 3] CurrentVersion different from configStatus: '6.1.4',''
2013-08-27 15:21:10,346 [12] INFO  Umbraco.Core.ApplicationContext - [Thread 3] CurrentVersion different from configStatus: '6.1.4',''
2013-08-27 15:21:10,346 [12] INFO  Umbraco.Core.ApplicationContext - [Thread 3] CurrentVersion different from configStatus: '6.1.4',''
2013-08-27 15:21:10,346 [12] INFO  Umbraco.Core.ApplicationContext - [Thread 3] CurrentVersion different from configStatus: '6.1.4',''
2013-08-27 15:21:10,346 [12] INFO  Umbraco.Core.ApplicationContext - [Thread 3] CurrentVersion different from configStatus: '6.1.4',''
2013-08-27 15:21:10,560 [12] INFO  Umbraco.Core.ApplicationContext - [Thread 3] CurrentVersion different from configStatus: '6.1.4',''
2013-08-27 15:21:10,560 [12] INFO  Umbraco.Core.ApplicationContext - [Thread 3] CurrentVersion different from configStatus: '6.1.4',''
2013-08-27 15:21:10,560 [12] INFO  Umbraco.Core.ApplicationContext - [Thread 3] CurrentVersion different from configStatus: '6.1.4',''
2013-08-27 15:21:10,560 [12] INFO  Umbraco.Core.ApplicationContext - [Thread 3] CurrentVersion different from configStatus: '6.1.4',''
2013-08-27 15:21:10,560 [12] INFO  Umbraco.Core.ApplicationContext - [Thread 3] CurrentVersion different from configStatus: '6.1.4',''
2013-08-27 15:21:10,560 [12] INFO  Umbraco.Core.ApplicationContext - [Thread 3] CurrentVersion different from configStatus: '6.1.4',''
2013-08-27 15:21:10,560 [12] INFO  Umbraco.Core.ApplicationContext - [Thread 3] CurrentVersion different from configStatus: '6.1.4',''
2013-08-27 15:21:10,560 [12] INFO  Umbraco.Core.ApplicationContext - [Thread 3] CurrentVersion different from configStatus: '6.1.4',''
2013-08-27 15:21:10,560 [12] INFO  Umbraco.Core.ApplicationContext - [Thread 3] CurrentVersion different from configStatus: '6.1.4',''
2013-08-27 15:21:10,560 [12] INFO  Umbraco.Core.ApplicationContext - [Thread 3] CurrentVersion different from configStatus: '6.1.4',''
2013-08-27 15:21:10,560 [12] INFO  Umbraco.Core.ApplicationContext - [Thread 3] CurrentVersion different from configStatus: '6.1.4',''
